epoch,train_loss,val_loss,lr,elapsed_s
1,6.979458,5.376567,2.23e-04,533.1
2,4.515757,3.131873,4.46e-04,563.6
3,3.325328,2.507970,6.69e-04,581.2
4,2.918431,2.129089,8.92e-04,550.7
5,2.659030,1.878973,1.00e-03,555.8
6,2.513120,1.744298,9.98e-04,521.0
7,2.430129,1.655843,9.95e-04,536.0
8,2.374061,1.599737,9.90e-04,542.4
9,2.333948,1.552466,9.84e-04,563.6
10,2.301872,1.519033,9.76e-04,549.9
11,2.275093,1.493306,9.67e-04,535.0
12,2.252023,1.474154,9.56e-04,557.9
13,2.231999,1.449975,9.44e-04,555.6
14,2.214107,1.427465,9.30e-04,549.0
15,2.196665,1.410687,9.15e-04,558.6
16,2.180646,1.389046,8.99e-04,534.3
17,2.164719,1.380501,8.81e-04,532.4
18,2.150387,1.366333,8.62e-04,535.9
19,2.138141,1.347207,8.42e-04,531.4
20,2.126787,1.339577,8.21e-04,544.1
21,2.117565,1.330787,7.99e-04,550.1
22,2.108913,1.321199,7.76e-04,531.3
23,2.101365,1.312738,7.52e-04,543.8
24,2.095030,1.308663,7.28e-04,545.3
25,2.088081,1.299391,7.02e-04,542.5
26,2.082270,1.295846,6.76e-04,544.4
27,2.076695,1.287746,6.50e-04,533.9
28,2.072329,1.282612,6.23e-04,537.3
29,2.067372,1.283009,5.95e-04,537.8
30,2.063428,1.276354,5.68e-04,530.2
31,2.059656,1.273306,5.40e-04,532.8
32,2.056682,1.268878,5.12e-04,540.7
33,2.053066,1.268610,4.84e-04,533.2
34,2.049972,1.268226,4.56e-04,536.1
35,2.046562,1.263720,4.28e-04,536.8
36,2.044795,1.263086,4.01e-04,535.3
37,2.041951,1.253495,3.73e-04,528.3
38,2.040169,1.260973,3.47e-04,535.9
39,2.038035,1.252135,3.20e-04,550.8
40,2.035854,1.253600,2.95e-04,544.0
41,2.034739,1.253992,2.70e-04,543.0
42,2.032915,1.253353,2.45e-04,534.6
43,2.031499,1.251493,2.22e-04,544.1
44,2.029898,1.247346,1.99e-04,533.2
45,2.028934,1.249435,1.78e-04,535.8
46,2.028060,1.248638,1.57e-04,541.3
47,2.026821,1.246755,1.38e-04,541.0
48,2.025776,1.246554,1.20e-04,543.1
49,2.025669,1.244421,1.03e-04,529.2
50,2.024657,1.243466,8.72e-05,540.6
51,2.024277,1.244571,7.28e-05,529.5
52,2.023427,1.243449,5.99e-05,547.4
53,2.022962,1.243763,4.83e-05,547.2
54,2.022705,1.243247,3.83e-05,539.0
55,2.022339,1.243767,2.97e-05,536.2
56,2.021865,1.243388,2.26e-05,546.7
57,2.021859,1.242270,1.71e-05,540.6
58,2.021670,1.242121,1.32e-05,543.0
59,2.022051,1.242244,1.08e-05,524.5
60,2.021294,1.242672,1.00e-05,533.9
1,5.255331,1.945161,4.80e-04,318.2
2,2.398469,1.179027,9.60e-04,321.1
3,2.050793,0.951759,1.00e-03,324.9
4,1.912839,0.811513,9.99e-04,323.8
5,1.811086,0.649102,9.98e-04,323.2
6,1.717503,0.574116,9.96e-04,323.0
7,1.659933,0.539953,9.94e-04,322.8
8,1.616203,0.519012,9.91e-04,323.2
9,1.584046,0.507398,9.88e-04,322.2
10,1.561318,0.490526,9.84e-04,323.8
11,1.544535,0.478438,9.80e-04,327.8
12,1.531384,0.468495,9.75e-04,347.7
13,1.520497,0.458478,9.70e-04,331.9
14,1.511124,0.451042,9.64e-04,327.7
15,1.503187,0.445035,9.58e-04,329.3
