epoch,train_loss,val_loss,lr,elapsed_s
1,5.433892,2.626523,5.48e-04,1114.9
2,2.877044,1.679174,1.00e-05,1541.0
1,5.431567,2.648328,5.49e-04,780.1
2,2.878009,1.671825,1.00e-03,811.2
3,2.478603,1.405208,1.00e-03,817.3
4,2.329834,1.272993,9.99e-04,820.4
5,2.242430,1.187051,9.97e-04,824.1
6,2.185780,1.131557,9.96e-04,824.7
7,2.144751,1.091992,9.93e-04,820.9
8,2.111614,1.054955,9.90e-04,821.6
9,2.084314,1.024420,9.87e-04,819.6
10,2.061809,1.007646,9.83e-04,818.4
11,2.042939,0.988233,9.79e-04,811.3
12,2.027827,0.970707,9.74e-04,816.4
13,2.013573,0.967634,9.69e-04,831.9
14,2.002773,0.942037,9.63e-04,820.2
15,1.991913,0.930460,9.57e-04,813.9
16,1.982411,0.919323,9.50e-04,814.9
17,1.973934,0.915771,9.43e-04,816.5
18,1.966634,0.898069,9.35e-04,812.5
19,1.959890,0.890196,9.27e-04,812.9
20,1.953699,0.879057,9.19e-04,809.1
21,1.947421,0.883385,9.10e-04,814.4
22,1.942453,0.872965,9.00e-04,816.1
23,1.937394,0.860161,8.91e-04,819.6
24,1.932598,0.858085,8.80e-04,812.2
25,1.928607,0.863672,8.70e-04,812.2
26,1.924354,0.847694,8.59e-04,813.3
27,1.921077,0.840057,8.48e-04,808.5
28,1.917120,0.839233,8.36e-04,801.5
29,1.913915,0.838650,8.24e-04,820.0
30,1.910766,0.832589,8.12e-04,814.3
31,1.907879,0.830243,7.99e-04,817.6
32,1.905357,0.837741,7.87e-04,809.0
33,1.902652,0.818962,7.73e-04,815.3
34,1.899530,0.818326,7.60e-04,811.0
35,1.897270,0.827542,7.46e-04,812.8
36,1.895389,0.818509,7.32e-04,818.0
37,1.892414,0.808200,7.18e-04,816.2
38,1.890829,0.814794,7.04e-04,810.3
39,1.888658,0.807920,6.89e-04,811.5
40,1.886829,0.807968,6.74e-04,811.0
41,1.885055,0.837258,6.59e-04,815.6
42,1.883287,0.811663,6.44e-04,813.6
43,1.881199,0.827386,6.29e-04,815.4
44,1.879458,0.819267,6.14e-04,814.2
45,1.877772,0.806641,5.98e-04,809.5
46,1.876527,0.813584,5.82e-04,810.5
47,1.874794,0.806537,5.67e-04,819.2
48,1.873778,0.793741,5.51e-04,815.3
49,1.871845,0.800795,5.35e-04,815.1
50,1.870864,0.800217,5.19e-04,810.6
51,1.869662,0.817042,5.04e-04,812.0
52,1.867994,0.793485,4.88e-04,811.9
53,1.866402,0.779657,4.72e-04,818.5
54,1.865248,0.793738,4.56e-04,815.7
55,1.864059,0.793840,4.40e-04,812.2
56,1.863415,0.780258,4.25e-04,810.5
57,1.862182,0.786085,4.09e-04,809.4
58,1.860779,0.779184,3.94e-04,814.8
59,1.860137,0.788416,3.78e-04,818.1
60,1.858899,0.775301,3.63e-04,816.0
61,1.857898,0.773095,3.48e-04,809.1
62,1.856878,0.783368,3.33e-04,816.0
63,1.856106,0.782897,3.18e-04,812.7
64,1.854969,0.788234,3.04e-04,808.4
65,1.854143,0.778891,2.89e-04,811.4
66,1.853163,0.774828,2.75e-04,814.4
67,1.851751,0.782709,2.61e-04,812.1
68,1.850819,0.770713,2.48e-04,814.6
69,1.849372,0.761652,2.34e-04,810.1
70,1.847474,0.757595,2.21e-04,812.2
71,1.846009,0.762431,2.08e-04,814.4
